"STU_ID","BYSEX","BYRACE","BYMOTHED","BYWRTNGA"
110109,2,2,3,1.567
110111,2,7,1,-0.435
110114,1,7,5,0.241
110116,2,7,6,1.001
110117,1,7,2,1.22
110118,2,7,2,-0.137
110119,2,7,2,0.812
110120,2,7,6,1.001
110122,1,7,6,-0.332
110123,1,7,4,0.812
110124,2,7,6,0.052
110125,1,5,1,-0.898
110126,1,7,2,-0.332
110127,1,7,6,0.168
110128,2,6,2,0.32
110129,2,7,6,0.052
110130,1,7,5,0.276
110201,1,7,6,0.32
110202,1,7,3,-0.405
110203,1,7,4,0.052
110204,1,2,6,0.052
110205,1,7,5,0.32
110206,1,4,2,-1.355
110207,2,7,7,1.951
110209,1,7,4,-0.898
110210,2,7,2,-4
110211,2,7,4,-0.332
110213,1,7,6,-4
110214,2,7,5,-4
110215,2,7,3,-0.6
110218,2,7,2,-0.411
110219,1,7,6,1.951
110220,2,7,2,-0.63
110221,1,7,2,-4
110222,2,6,1,-4
110224,2,7,6,0.544
110225,2,7,5,-0.898
110226,2,7,7,-1.087
110227,2,7,3,0.052
110228,2,7,6,-4
111101,1,4,1,-4
111102,-4,-4,-4,-4
111103,1,4,5,-0.819
111105,2,6,5,-1.057
111107,1,3,4,1.001
111108,1,7,4,-0.143
111109,2,7,3,-4
111112,1,4,6,-0.898
111113,2,6,4,0.241
111114,2,7,3,0.052
111115,2,2,6,-4
111116,2,3,7,1.001
111117,1,2,6,-4
111118,1,7,7,0.704
111119,2,6,2,-0.435
111120,1,7,6,1.951
111121,1,4,7,-1.361
111122,2,6,2,-0.167
111124,2,4,2,-0.703
111125,2,5,3,-4
111126,1,7,6,1.951
111128,1,7,6,0.618
111130,1,7,6,-4
111131,1,2,7,0.807
111132,-4,-4,-4,-4
111133,2,3,3,-4
111134,2,4,1,-1.093
111161,-8,-8,-8,-8
111162,-8,-8,-8,-8
111201,2,7,3,-1.847
111202,2,7,4,0.807
111203,1,7,5,1.756
111204,2,7,3,-1.55
111206,2,7,3,1.001
111208,2,5,3,0.728
111210,2,7,3,1.951
111211,1,7,4,1.488
111213,2,7,6,0.349
111214,2,7,5,0.247
111216,1,7,2,-0.52
111217,2,7,1,-1.195
111218,2,7,2,-0.405
111219,1,6,1,-1.847
111220,2,7,4,1.951
111221,1,7,4,-0.709
111222,1,7,2,-1.847
112101,2,7,2,-0.703
112102,1,-8,-9,-4
112104,1,7,6,1.299
112105,2,7,2,0.247
112106,1,7,3,-0.709
112107,2,7,2,0.436
112108,1,6,2,-0.246
112109,-4,-4,-4,-4
112110,1,7,3,0.247
112111,2,7,2,-0.703
112112,2,7,5,-4
112113,1,6,4,-4
112114,1,7,4,0.247
112115,2,7,2,0.247
112116,2,7,6,0.052
112118,2,7,3,-0.703
112120,2,7,7,-4
112122,1,7,4,-0.246
112123,1,-8,-9,-1.463
112124,1,6,2,-1.658
112162,-8,-8,-8,-8
112201,1,2,6,1.567
112203,1,7,8,-0.411
112206,2,7,7,1.27
112209,1,6,4,0.052
112210,1,7,6,-0.332
112211,2,7,5,0.052
112212,2,2,6,1.756
112213,1,2,6,-0.703
112214,1,4,7,0.052
112215,1,2,7,0.812
112216,2,7,6,0.812
112218,2,7,6,0.996
112219,2,2,7,1.001
112220,1,7,7,0.349
112221,1,6,3,-0.411
112223,2,7,6,-4
112224,-4,-4,-4,-4
112225,2,3,7,-0.405
112226,2,7,7,0.052
112228,1,7,6,1.001
112229,-4,-4,-4,-4
112231,1,7,3,-1.361
112232,1,2,3,0.052
112233,2,2,7,0.515
112234,1,2,5,-0.114
113101,2,6,2,-1.463
113102,2,7,4,0.807
113103,2,7,6,-1.384
113105,2,7,7,-0.332
113106,1,7,2,0.052
113107,2,7,3,1.075
113109,2,7,4,0.618
113110,1,1,1,-0.441
113111,2,7,6,-0.703
113112,2,5,4,-0.332
113113,1,5,6,0.812
113114,1,7,2,-0.521
113116,2,7,2,-1.658
113117,2,7,2,-0.143
113118,2,7,4,0.807
113119,1,7,7,-0.332
113120,2,7,4,0.807
113121,2,7,3,-0.143
113124,1,7,2,-1.384
113126,1,2,7,0.618
113127,2,7,2,0.807
113128,2,2,7,1.27
113130,2,7,5,1.27
113131,2,7,3,-1.384
113132,2,7,3,1.001
113133,1,4,2,-0.361
113201,1,7,2,-4
113202,2,3,2,-1.087
113203,-4,-4,-4,-4
113204,2,7,7,1.001
113205,2,6,6,-4
113206,1,6,5,1.001
113207,1,4,1,0.704
113208,2,-8,1,-4
113209,1,2,5,-0.898
113210,1,-8,3,0.052
113211,2,3,5,0.807
113212,2,7,5,0.052
113213,2,2,1,0.509
113214,2,3,2,-4
113215,2,7,3,-4
113216,1,4,3,-4
