"STU_ID","BYSEX","BYRACE","BYMOTHED","BYTXMSTD","F1TXMSTD"
113102,2,7,4,53.11,63.33
113103,2,7,6,43.02,34.63
113105,2,7,7,55.95,49.25
113106,1,7,2,53.49,54.4
113107,2,7,3,54.58,55.52
113109,2,7,4,49.5,51.32
113110,1,1,1,40.65,39.38
113111,2,7,6,41.54,-8
113112,2,5,4,38,35.82
113113,1,5,6,58.1,53.71
113114,1,7,2,56.33,53.52
113116,2,7,2,45.53,45.76
113117,2,7,2,48.19,31.34
113118,2,7,4,59.17,57.53
113119,1,7,7,48.64,61.64
113120,2,7,4,58.76,58.95
113121,2,7,3,57.04,50.71
113124,1,7,2,31.56,-8
113126,1,2,7,57,63.07
113127,2,7,2,55.28,60.11
113128,2,2,7,47.64,58.32
113130,2,7,5,55.26,67.79
113131,2,7,3,55.16,-8
113132,2,7,3,45.02,43.2
113133,1,4,2,42.11,-8
113201,1,7,2,58.13,57.23
113202,2,3,2,43.94,41.38
113203,-4,-4,-4,48.9,43.67
113204,2,7,7,58.03,59.11
113205,2,6,6,51.92,-8
113206,1,6,5,58.15,55.99
113207,1,4,1,39.47,37.64
113208,2,-8,1,-8,45.37
113209,1,2,5,51.46,46.94
113210,1,-8,3,-8,-8
113211,2,3,5,41.45,45.09
113212,2,7,5,55.37,53.52
113213,2,2,1,62.96,62.19
113214,2,3,2,57.51,56.01
113215,2,7,3,64.61,59.34
113216,1,4,3,59.36,52.2
113217,1,6,6,58.96,58.02
113218,1,7,2,44.19,34.32
113219,1,4,5,48.9,47.24
113220,2,3,5,44.82,-8
113221,2,7,7,70.68,67.93
113222,2,7,7,64.39,56.93
113223,1,-8,2,-8,35.25
113225,1,2,2,38.99,-8
113226,2,3,2,36.43,39.87
113227,1,3,2,41.25,39.65
113228,2,6,7,44.07,43.32
113229,2,2,3,55.77,70.1
113230,-4,-4,-4,53.86,50.82
113231,1,5,2,35.87,35.84
113232,1,7,3,50.83,-8
113233,2,4,3,36.58,33.9
113234,2,2,4,60.41,57.91
113261,-8,-8,-8,-8,34.89
113262,-8,-8,-8,-8,56.43
114101,1,7,6,57.63,55.41
114102,1,7,6,63.25,66.16
114103,2,7,6,50.38,49.2
114104,1,7,6,66.08,74.97
114105,2,2,5,45.23,42.29
114106,1,7,4,61.83,58.43
114107,2,7,4,55.64,58.46
114108,1,7,6,53.9,39.73
114109,2,7,2,55.16,50.45
114111,1,-8,6,-8,36.85
114112,1,7,5,49.37,-8
114113,2,7,6,47.33,54.02
114114,2,7,5,50.74,46.74
114115,2,7,8,54.06,57.58
114116,1,7,7,64.98,69.5
114117,2,6,2,44.11,43.4
114118,1,7,4,47.03,45.74
114119,1,7,6,62.99,-8
114121,2,7,6,58.43,47.88
114122,2,3,6,55.73,54.51
114123,1,7,8,51.22,50.88
114124,2,7,7,69.73,68.1
114125,1,7,7,62.16,59.35
114126,-4,-4,-4,66.7,67.12
114127,2,7,6,59.17,60.71
114128,1,7,2,63.75,65.42
114129,1,7,7,73.96,68.74
114130,2,7,6,43.23,48.73
114201,2,7,2,52.78,57.2
114202,2,7,3,42.99,42.43
114203,1,7,6,60.94,56.5
114205,2,1,2,58.93,69.21
114206,1,7,2,50.63,53.17
114207,1,2,2,52.68,46.46
114208,1,7,4,40.99,41.71
114209,1,7,2,54.02,-8
114210,1,7,3,65.15,71.83
114211,2,7,5,46.82,50.44
114212,1,7,2,38.01,43.96
114213,1,7,6,62.58,61.64
114214,2,-8,3,-8,-8
114215,2,7,2,43.29,39.77
114217,2,7,3,47.03,47.34
114220,1,7,2,57.68,61.95
114221,1,7,3,64.14,62.41
114222,1,7,3,64.61,69.42
114223,2,7,4,48.36,-8
115101,1,7,3,39.86,41.09
115102,1,7,2,43.41,41.04
115104,2,7,3,45.89,43.06
115105,1,7,1,40.34,36.37
115106,2,5,5,51.95,41.92
115107,2,7,2,50.3,51.89
115108,2,7,5,54.22,51.61
115109,2,6,2,53.18,53.12
115110,1,2,8,69.51,65.05
115111,2,7,5,50.62,51.06
115112,2,7,1,38.38,35.93
115113,1,7,2,58.47,60.44
115114,1,7,2,37.54,-8
115115,1,7,2,43.29,45.62
115116,2,7,2,53.81,56.37
115117,1,7,4,46.2,42.14
115118,2,7,6,61.84,57.09
115121,1,3,2,54.74,46.94
115122,2,7,3,50.14,-8
115123,1,7,6,52.58,54.96
115124,2,7,1,36.76,-8
115125,1,7,3,48.44,45.34
115126,2,7,2,43.39,34.25
115128,2,7,2,50.75,-8
115129,2,7,5,48.34,-8
115130,2,7,2,43.75,41.87
115161,-8,-8,-8,-8,52.77
115201,1,7,2,52.7,54.95
115202,1,7,3,50.66,48.36
115203,2,7,2,58.73,56.9
115204,1,7,3,55.64,54.82
115205,2,5,2,48.97,48.69
115206,1,7,4,53.26,56.54
115207,2,7,2,45.9,-8
115208,1,2,4,62.21,56.52
115209,1,7,2,67.24,67.37
115210,2,7,6,58.41,58.84
115211,1,7,4,59.99,59.91
115212,1,7,4,55.44,46.73
115213,2,7,3,62.47,64.21
115214,1,7,4,67.73,67.99
115215,1,7,4,50,53.2
115216,2,7,6,48.25,54.34
115217,2,7,2,63.21,66.37
115218,1,7,6,57.15,62.79
115219,2,7,2,51.26,48.56
115220,1,7,5,55.66,56.23
115221,1,7,2,62.38,62.01
115222,2,7,4,48.53,47.14
115223,1,5,4,45,49.24
115226,2,7,7,48.41,-8
115227,2,7,1,44.94,38.86
115228,1,7,1,57.46,64.23
115229,2,7,6,44.57,43.66
115230,1,7,2,61.85,55.68
116101,2,7,6,47.67,46.49
116102,2,7,2,46.14,44.62
116104,1,7,5,48.84,46.57
116106,2,7,2,42.83,38.16
116107,1,7,1,45.75,41.44
116108,1,7,2,45.62,44.25
116109,1,4,2,50.55,47.94
116112,1,7,1,42.26,38.23
116113,1,7,4,48.21,45.84
116115,1,6,4,46.84,43.61
116116,1,7,2,36.33,38.42
116117,1,7,2,37.76,34.3
116118,2,7,3,30.04,29.09
116121,1,7,2,53.31,49.29
116122,1,7,1,54.24,47.98
116123,1,7,4,44.74,36.15
116125,1,5,5,37.27,31.23
116126,1,7,2,54.35,50.39
116202,2,7,4,36.2,30
116203,2,7,2,51.56,48.64
116204,2,7,2,60.38,54.93
116205,1,7,4,44.68,42.53
116208,2,7,2,46.86,53.19
116210,2,7,4,33.09,36.03
116211,1,7,6,46.02,45.87
116213,2,7,6,55.77,53.59
116215,2,7,5,49.64,46.39
116216,1,2,4,49.04,49.26
116218,2,7,1,54.36,56.89
116219,1,7,6,55.29,53.88
116220,1,7,2,46.86,47.46
116224,2,4,2,47.33,48.19
116225,2,7,3,59,55.61
116228,2,3,2,38.9,42.21
116229,1,7,3,65.95,58.67
116230,2,7,2,60.05,57.59
116232,1,7,2,47.29,48.21
116233,2,6,5,46.41,47.29
117101,-4,-4,-4,42.84,41.33
117102,-4,-4,-4,53.38,54.79
117106,-4,-4,-4,47.2,37.46
117107,-4,-4,-4,48.17,47.22
117108,-4,-4,-4,44.78,39.7
117114,-4,-4,-4,56.4,57.51
117119,1,7,7,70.03,68.17
117120,2,7,2,40.69,35.28
117121,2,7,4,54.35,50.67
117123,2,7,2,56.41,55.22
117125,1,2,4,65.79,68.43
117203,1,4,5,28.4,31
117204,1,7,3,51.95,55.46
117205,2,7,4,53.09,52.73
117206,2,7,5,42.05,43.46
117207,1,7,7,65.56,62.52
117208,1,7,2,62.38,65.24
117209,2,6,2,55.05,53.11
117210,-4,-4,-4,57.74,55.08
117212,1,7,2,67.44,66.03
117213,1,7,5,62.33,56.05
117214,1,7,3,59.4,62.07
117215,2,7,4,53.09,54.93
117216,2,7,6,49.27,48.82
117217,1,4,2,32.83,-8
